policy_id,insurer_name,postcode,region_name,wind_risk_band,building_type,sum_insured,mitigation_flag,annual_premium,policy_start_date,policy_end_date,broker_code
POL-004207,Outback Assurance Group,4879,Innisfail QLD,T-W,Home,857535,,7752.64,2023-01-17,2024-01-17,BRK-3390
POL-004208,Outback Assurance Group,800,Darwin NT,T-W,Home,273329,,2789.91,2025-06-06,2026-06-06,BRK-1042
POL-004209,Southern Cross Insurance,4802,Townsville QLD,T-W,Home,711703,,7313.14,2023-03-24,2024-03-23,BRK-2071
POL-004210,Outback Assurance Group,4703,Rockhampton QLD,Q-S,SME,2279177,Shutters Installed,11591.68,2024-02-06,2025-02-05,BRK-1042
POL-004211,Pacific Rim Insurance,4680,Gladstone QLD,L-P,Home,250054,,1082.28,2023-03-20,2024-03-19,BRK-3390
POL-004212,Coral Coast Mutual,4720,Charters Towers QLD,L-P,Home,350581,Roof Tie-Down,1222.63,2024-11-09,2025-11-09,BRK-3390
POL-004213,Northbeam General,6000,Perth WA,B-F,Home,439479,,744.3,2024-12-11,2025-12-11,BRK-4118
POL-004214,Southern Cross Insurance,4680,Gladstone QLD,L-P,Home,706064,,3010.24,2023-12-02,2024-12-01,BRK-2071
POL-004215,Pacific Rim Insurance,6000,Perth WA,B-F,Home,601402,,1143.48,2024-02-23,2025-02-22,
POL-004216,Coral Coast Mutual,4350,Toowoomba QLD,B-F,Home,392306,Shutters Installed,639.22,2025-02-06,2026-02-06,BRK-1042
POL-004217,Pacific Rim Insurance,4700,Rockhampton QLD,Q-S,SME,2378154,Elevated Slab,14010.28,2024-07-03,2025-07-03,BRK-2071
POL-004218,Northbeam General,4700,Rockhampton QLD,Q-S,SME,921652,,5751.9,2023-02-04,2024-02-04,
POL-004219,Outback Assurance Group,6714,Karratha WA,T-W,Home,502410,,4810.04,2025-06-11,2026-06-11,BRK-3390
POL-004220,Southern Cross Insurance,4879,Innisfail QLD,T-W,SME,1661875,,15832.53,2025-03-19,2026-03-19,BRK-2071
POL-004221,Outback Assurance Group,4879,Innisfail QLD,T-W,SME,1605955,Shutters Installed,13157.34,2025-02-15,2026-02-15,
POL-004222,Northbeam General,4825,Cloncurry QLD,B-F,SME,1221506,,2120.91,2023-12-26,2024-12-25,BRK-1042
POL-004223,Outback Assurance Group,4870,Cairns QLD,T-W,SME,733306,Roof Tie-Down,6336.13,2023-05-25,2024-05-24,
POL-004224,Northbeam General,4825,Cloncurry QLD,B-F,Home,338142,,665.48,2024-09-17,2025-09-17,BRK-3390
POL-004225,Outback Assurance Group,4870,Cairns QLD,T-W,SME,2512734,,25588.03,2023-05-31,2024-05-30,BRK-1042
POL-004226,Outback Assurance Group,4737,Bowen QLD,Q-S,Home,747914,Elevated Slab,3759.31,2023-08-10,2024-08-09,BRK-3390
POL-004227,Coral Coast Mutual,6714,Karratha WA,T-W,Home,453741,Roof Tie-Down,3845.22,2023-08-09,2024-08-08,
POL-004228,Pacific Rim Insurance,6721,Port Hedland WA,T-W,SME,2896170,Shutters Installed,22255.43,2024-06-04,2025-06-04,BRK-3390
POL-004229,Northbeam General,4655,Hervey Bay QLD,L-P,SME,1375717,,5321.49,2023-03-15,2024-03-14,BRK-2071
POL-004230,Southern Cross Insurance,4703,Rockhampton QLD,Q-S,Home,692162,Elevated Slab,3509.68,2025-01-01,2026-01-01,BRK-3390
POL-004231,Coral Coast Mutual,4737,Bowen QLD,Q-S,SME,2272759,,14186.31,2025-06-06,2026-06-06,BRK-2071
POL-004232,Northbeam General,4737,Bowen QLD,Q-S,Home,683561,Elevated Slab,4071.4,2024-02-02,2025-02-01,
POL-004233,Pacific Rim Insurance,4655,Hervey Bay QLD,L-P,Home,293138,Shutters Installed,1048.48,2025-07-12,2026-07-12,
POL-004234,Coral Coast Mutual,4810,Townsville QLD,T-W,Home,769879,,7995.78,2025-05-29,2026-05-29,
POL-004235,Pacific Rim Insurance,4810,Townsville QLD,T-W,Home,501057,Shutters Installed,4402.85,2025-05-09,2026-05-09,BRK-3390
POL-004236,Coral Coast Mutual,6714,Karratha WA,T-W,Home,449500,Elevated Slab,3590.6,2024-04-15,2025-04-15,BRK-2071
POL-004237,Pacific Rim Insurance,4870,Cairns QLD,T-W,Strata,9989280,,92796.99,2024-03-05,2025-03-05,
POL-004238,Outback Assurance Group,850,Alice Springs NT,B-F,Home,407598,Shutters Installed,564.07,2025-06-06,2026-06-06,BRK-2071
POL-004239,Coral Coast Mutual,4879,Innisfail QLD,T-W,Home,875761,Roof Tie-Down,6994.2,2023-07-24,2024-07-23,BRK-2071
POL-004240,Southern Cross Insurance,4825,Mount Isa QLD,B-F,Home,467786,,867.57,2023-08-01,2024-07-31,BRK-4118
POL-004241,Southern Cross Insurance,4810,Townsville QLD,T-W,Home,298770,,2878.61,2023-10-12,2024-10-11,BRK-2071
POL-004242,Coral Coast Mutual,4879,Innisfail QLD,T-W,Home,780831,Elevated Slab,5863.86,2025-02-01,2026-02-01,BRK-2071
POL-004243,Coral Coast Mutual,6000,Perth WA,B-F,Home,599733,,1112.92,2024-03-08,2025-03-08,
POL-004244,Outback Assurance Group,4350,Toowoomba QLD,B-F,Home,460013,Roof Tie-Down,755.19,2023-05-14,2024-05-13,BRK-4118
POL-004245,Southern Cross Insurance,4879,Innisfail QLD,T-W,Strata,13259305,,132581.3,2025-06-01,2026-06-01,BRK-3390
POL-004246,Southern Cross Insurance,6000,Perth WA,B-F,Home,848338,,1599.35,2023-03-13,2024-03-12,BRK-1042
POL-004247,Southern Cross Insurance,4350,Toowoomba QLD,B-F,SME,1916966,,3674.46,2023-03-21,2024-03-20,BRK-1042
POL-004248,Coral Coast Mutual,4810,Townsville QLD,T-W,SME,2781092,,26904.23,2024-02-13,2025-02-12,BRK-3390
POL-004249,Outback Assurance Group,4825,Mount Isa QLD,B-F,Home,583742,Roof Tie-Down,893.55,2025-02-05,2026-02-05,BRK-4118
POL-004250,Southern Cross Insurance,6000,Perth WA,B-F,Home,571296,Roof Tie-Down,868.91,2024-03-11,2025-03-11,BRK-3390
POL-004251,Coral Coast Mutual,4720,Charters Towers QLD,L-P,Home,785949,,3292.31,2023-01-01,2024-01-01,BRK-2071
POL-004252,Pacific Rim Insurance,4737,Bowen QLD,Q-S,SME,2008095,Elevated Slab,11200.26,2023-05-31,2024-05-30,
POL-004253,Pacific Rim Insurance,4870,Cairns QLD,T-W,SME,1947111,,18142.83,2024-09-06,2025-09-06,BRK-3390
POL-004254,Northbeam General,4680,Gladstone QLD,L-P,Home,321092,,1288.23,2023-06-18,2024-06-17,BRK-4118
POL-004255,Coral Coast Mutual,4350,Toowoomba QLD,B-F,Home,444967,Roof Tie-Down,680.31,2025-07-19,2026-07-19,BRK-3390
POL-004256,Northbeam General,4870,Cairns QLD,T-W,Home,503723,,4903.22,2024-03-08,2025-03-08,BRK-3390
POL-004257,Pacific Rim Insurance,810,Darwin NT,T-W,Home,320498,Roof Tie-Down,2441.17,2023-04-01,2024-03-31,BRK-1042
POL-004258,Northbeam General,4655,Hervey Bay QLD,L-P,Home,572466,Shutters Installed,2023.7,2023-09-07,2024-09-06,BRK-2071
POL-004259,Coral Coast Mutual,4825,Cloncurry QLD,B-F,Home,725825,Roof Tie-Down,1162.31,2024-05-27,2025-05-27,BRK-1042
POL-004260,Northbeam General,4700,Rockhampton QLD,Q-S,Home,567137,Shutters Installed,3338.74,2023-01-03,2024-01-03,BRK-2071
POL-004261,Northbeam General,6714,Karratha WA,T-W,Home,267497,Shutters Installed,2345.81,2025-02-03,2026-02-03,BRK-4118
POL-004262,Pacific Rim Insurance,4350,Toowoomba QLD,B-F,SME,1346487,,2587.66,2023-03-26,2024-03-25,BRK-2071
POL-004263,Northbeam General,4879,Innisfail QLD,T-W,Home,771038,,7294.19,2023-04-08,2024-04-07,BRK-3390
POL-004264,Southern Cross Insurance,4825,Mount Isa QLD,B-F,Strata,3281022,,5912.32,2023-07-12,2024-07-11,BRK-2071
POL-004265,Outback Assurance Group,810,Darwin NT,T-W,Home,530531,Elevated Slab,4627.36,2025-09-20,2026-09-20,BRK-4118
POL-004266,Pacific Rim Insurance,6714,Karratha WA,T-W,Home,470240,Roof Tie-Down,4139.59,2025-08-16,2026-08-16,
POL-004267,Coral Coast Mutual,4825,Cloncurry QLD,B-F,Home,374704,Roof Tie-Down,572.03,2024-09-08,2025-09-08,
POL-004268,Coral Coast Mutual,6714,Karratha WA,T-W,SME,642790,,6483.7,2024-06-19,2025-06-19,BRK-1042
POL-004269,Coral Coast Mutual,4825,Mount Isa QLD,B-F,Strata,11294587,,22278.73,2023-12-05,2024-12-04,BRK-4118
POL-004270,Pacific Rim Insurance,4720,Charters Towers QLD,L-P,SME,863898,,3538.96,2023-12-20,2024-12-19,BRK-3390
POL-004271,Pacific Rim Insurance,4700,Rockhampton QLD,Q-S,Home,351817,Shutters Installed,1977.84,2023-11-15,2024-11-14,BRK-1042
POL-004272,Pacific Rim Insurance,4802,Townsville QLD,T-W,Home,293046,,2913.3,2023-07-20,2024-07-19,BRK-1042
POL-004273,Pacific Rim Insurance,4825,Mount Isa QLD,B-F,SME,1193053,,2044.04,2024-12-21,2025-12-21,BRK-4118
POL-004274,Outback Assurance Group,4700,Rockhampton QLD,Q-S,Home,887813,Roof Tie-Down,5274.33,2024-08-11,2025-08-11,BRK-2071
POL-004275,Northbeam General,4350,Toowoomba QLD,B-F,Strata,11858780,,22351.21,2023-04-15,2024-04-14,BRK-4118
POL-004276,Coral Coast Mutual,4825,Mount Isa QLD,B-F,Home,452576,Roof Tie-Down,664.08,2023-03-31,2024-03-30,BRK-2071
POL-004277,Coral Coast Mutual,4655,Hervey Bay QLD,L-P,Home,598483,Shutters Installed,2300.1,2023-12-31,2024-12-30,BRK-4118
POL-004278,Southern Cross Insurance,4703,Rockhampton QLD,Q-S,SME,1745229,,10716.57,2023-07-14,2024-07-13,BRK-3390
POL-004279,Southern Cross Insurance,6721,Port Hedland WA,T-W,Home,808706,Elevated Slab,5992.14,2024-12-30,2025-12-30,BRK-1042
POL-004280,Coral Coast Mutual,4740,Mackay QLD,Q-S,Home,677050,,4278.1,2024-07-16,2025-07-16,BRK-4118
POL-004281,Coral Coast Mutual,6714,Karratha WA,T-W,Home,703151,Elevated Slab,5379.72,2025-03-30,2026-03-30,BRK-4118
POL-004282,Pacific Rim Insurance,6714,Karratha WA,T-W,Strata,11367755,Shutters Installed,96237.16,2023-07-08,2024-07-07,BRK-4118
POL-004283,Coral Coast Mutual,4802,Townsville QLD,T-W,Home,893694,Elevated Slab,7732.83,2024-09-04,2025-09-04,BRK-1042
POL-004284,Southern Cross Insurance,6714,Karratha WA,T-W,Home,336018,Elevated Slab,2949.37,2025-07-28,2026-07-28,BRK-2071
POL-004285,Pacific Rim Insurance,4870,Cairns QLD,T-W,Home,651022,Roof Tie-Down,5763.99,2024-01-25,2025-01-24,BRK-2071
POL-004286,Coral Coast Mutual,4825,Mount Isa QLD,B-F,Home,802008,,1483.01,2023-06-13,2024-06-12,BRK-2071
POL-004287,Pacific Rim Insurance,810,Darwin NT,T-W,SME,2646247,Roof Tie-Down,19835.88,2025-04-24,2026-04-24,BRK-1042
POL-004288,Outback Assurance Group,810,Darwin NT,T-W,Home,773471,Roof Tie-Down,6065.7,2024-10-15,2025-10-15,BRK-2071
POL-004289,Northbeam General,4700,Rockhampton QLD,Q-S,SME,2993267,Elevated Slab,16764.3,2024-01-26,2025-01-25,
POL-004290,Southern Cross Insurance,4870,Cairns QLD,T-W,Home,770690,,7428.35,2025-08-12,2026-08-12,BRK-4118
POL-004291,Coral Coast Mutual,4870,Cairns QLD,T-W,Home,395911,,3883.05,2024-10-11,2025-10-11,BRK-2071
POL-004292,Northbeam General,850,Alice Springs NT,B-F,Home,728009,Roof Tie-Down,1013.42,2023-07-26,2024-07-25,
POL-004293,Pacific Rim Insurance,810,Darwin NT,T-W,Home,735807,,7567.37,2023-10-01,2024-09-30,
POL-004294,Outback Assurance Group,6714,Karratha WA,T-W,Home,516431,,5205.43,2024-07-23,2025-07-23,BRK-4118
POL-004295,Southern Cross Insurance,800,Darwin NT,T-W,Home,559583,Shutters Installed,4369.23,2025-07-11,2026-07-11,BRK-3390
POL-004296,Pacific Rim Insurance,6714,Karratha WA,T-W,SME,496754,,4914.06,2023-05-31,2024-05-30,BRK-2071
POL-004297,Northbeam General,4655,Hervey Bay QLD,L-P,Home,552027,Elevated Slab,1991.4,2023-06-27,2024-06-26,
POL-004298,Outback Assurance Group,6000,Perth WA,B-F,Home,565029,,1095.65,2023-09-27,2024-09-26,
POL-004299,Southern Cross Insurance,4655,Hervey Bay QLD,L-P,SME,1830531,,6983.46,2024-08-16,2025-08-16,BRK-2071
POL-004300,Outback Assurance Group,6000,Perth WA,B-F,SME,2851250,,5137.44,2024-03-22,2025-03-22,BRK-1042
POL-004301,Coral Coast Mutual,6000,Perth WA,B-F,Home,657821,Roof Tie-Down,972.09,2025-05-11,2026-05-11,BRK-1042
POL-004302,Pacific Rim Insurance,4879,Innisfail QLD,T-W,SME,2744045,Shutters Installed,22123.32,2024-06-04,2025-06-04,BRK-1042
POL-004303,Pacific Rim Insurance,4737,Bowen QLD,Q-S,SME,2184961,Elevated Slab,12548.16,2025-07-22,2026-07-22,
POL-004304,Outback Assurance Group,4810,Townsville QLD,T-W,SME,2033064,Roof Tie-Down,16939.06,2023-02-23,2024-02-23,BRK-2071
POL-004305,Southern Cross Insurance,810,Darwin NT,T-W,SME,2881258,Roof Tie-Down,21046.71,2023-04-01,2024-03-31,BRK-4118
POL-004306,Coral Coast Mutual,4703,Rockhampton QLD,Q-S,Home,543016,Roof Tie-Down,2989.36,2024-08-26,2025-08-26,BRK-2071
POL-004307,Pacific Rim Insurance,4737,Bowen QLD,Q-S,Strata,11687464,Roof Tie-Down,66063.57,2023-08-08,2024-08-07,BRK-2071
POL-004308,Pacific Rim Insurance,4870,Cairns QLD,T-W,Home,518803,Roof Tie-Down,4488.32,2024-06-17,2025-06-17,BRK-1042
POL-004309,Pacific Rim Insurance,6714,Karratha WA,T-W,SME,2788814,,25380.19,2023-03-17,2024-03-16,BRK-3390
POL-004310,Coral Coast Mutual,800,Darwin NT,T-W,Home,300100,,3111.55,2023-08-27,2024-08-26,BRK-2071
POL-004311,Outback Assurance Group,4737,Bowen QLD,Q-S,Home,625817,Shutters Installed,3722.29,2025-09-07,2026-09-07,BRK-3390
POL-004312,Northbeam General,850,Alice Springs NT,B-F,Home,841815,Roof Tie-Down,1244.54,2023-08-15,2024-08-14,
POL-004313,Pacific Rim Insurance,4655,Hervey Bay QLD,L-P,Home,518275,,2335.45,2025-02-16,2026-02-16,BRK-2071
POL-004314,Outback Assurance Group,4655,Hervey Bay QLD,L-P,SME,2135902,,9571.32,2023-12-06,2024-12-05,
POL-004315,Northbeam General,810,Darwin NT,T-W,Home,810774,Roof Tie-Down,6761.15,2025-06-12,2026-06-12,BRK-3390
POL-004316,Pacific Rim Insurance,4720,Charters Towers QLD,L-P,Strata,2027018,,8956.41,2023-04-24,2024-04-23,BRK-3390
POL-004317,Pacific Rim Insurance,4703,Rockhampton QLD,Q-S,Home,293761,Elevated Slab,1602.51,2024-06-06,2025-06-06,
POL-004318,Outback Assurance Group,6714,Karratha WA,T-W,Home,692924,,6562.97,2024-02-24,2025-02-23,BRK-4118
POL-004319,Northbeam General,4720,Charters Towers QLD,L-P,Home,542072,,2196.54,2024-07-18,2025-07-18,BRK-2071
POL-004320,Outback Assurance Group,850,Alice Springs NT,B-F,Strata,11639049,,20218.93,2024-08-11,2025-08-11,BRK-1042
POL-004321,Coral Coast Mutual,6714,Karratha WA,T-W,Home,460413,Shutters Installed,3406.4,2024-05-04,2025-05-04,BRK-3390
POL-004322,Pacific Rim Insurance,4680,Gladstone QLD,L-P,SME,2915325,,12559.07,2025-08-03,2026-08-03,BRK-4118
POL-004323,Southern Cross Insurance,4810,Townsville QLD,T-W,Home,729570,,7576.0,2023-03-31,2024-03-30,
POL-004324,Southern Cross Insurance,6721,Port Hedland WA,T-W,Strata,4625471,Elevated Slab,36816.88,2023-11-27,2024-11-26,
POL-004325,Coral Coast Mutual,800,Darwin NT,T-W,SME,2180065,,19704.79,2023-08-18,2024-08-17,BRK-4118
POL-004326,Outback Assurance Group,4810,Townsville QLD,T-W,Home,325436,,3257.05,2025-03-08,2026-03-08,
POL-004327,Northbeam General,6721,Port Hedland WA,T-W,SME,2248009,,21481.61,2024-03-13,2025-03-13,BRK-2071
POL-004328,Northbeam General,4870,Cairns QLD,T-W,Strata,5465248,Roof Tie-Down,42816.42,2024-05-31,2025-05-31,
POL-004329,Coral Coast Mutual,4740,Mackay QLD,Q-S,SME,1203927,Elevated Slab,7100.19,2023-03-29,2024-03-28,BRK-2071
POL-004330,Northbeam General,4802,Townsville QLD,T-W,Home,430933,,4439.36,2023-05-29,2024-05-28,
POL-004331,Pacific Rim Insurance,4720,Charters Towers QLD,L-P,Home,475408,,1918.97,2024-11-09,2025-11-09,
POL-004332,Coral Coast Mutual,4700,Rockhampton QLD,Q-S,Home,301191,Elevated Slab,1686.62,2024-06-16,2025-06-16,BRK-1042
POL-004333,Pacific Rim Insurance,4879,Innisfail QLD,T-W,SME,747341,Roof Tie-Down,6402.25,2025-06-14,2026-06-14,BRK-4118
POL-004334,Southern Cross Insurance,4740,Mackay QLD,Q-S,Home,456081,,3207.61,2024-07-20,2025-07-20,BRK-2071
POL-004335,Coral Coast Mutual,4825,Mount Isa QLD,B-F,SME,1319280,Shutters Installed,1993.72,2023-09-05,2024-09-04,
POL-004336,Coral Coast Mutual,4720,Charters Towers QLD,L-P,Home,759576,,2937.76,2023-12-21,2024-12-20,BRK-1042
POL-004337,Outback Assurance Group,6000,Perth WA,B-F,Home,611811,,1045.11,2023-06-07,2024-06-06,BRK-2071
POL-004338,Outback Assurance Group,4740,Mackay QLD,Q-S,Home,530308,Elevated Slab,3182.74,2025-04-24,2026-04-24,BRK-2071
POL-004339,Coral Coast Mutual,810,Darwin NT,T-W,Home,598921,Roof Tie-Down,5077.51,2024-02-09,2025-02-08,BRK-2071
POL-004340,Coral Coast Mutual,4810,Townsville QLD,T-W,Home,410596,Roof Tie-Down,3455.21,2025-04-20,2026-04-20,BRK-4118
POL-004341,Southern Cross Insurance,4879,Innisfail QLD,T-W,Home,411023,,4141.36,2024-01-09,2025-01-08,
POL-004342,Northbeam General,4700,Rockhampton QLD,Q-S,Strata,7996458,,56861.25,2025-01-09,2026-01-09,BRK-1042
POL-004343,Coral Coast Mutual,4825,Cloncurry QLD,B-F,Home,771275,Roof Tie-Down,1169.19,2025-06-14,2026-06-14,
POL-004344,Northbeam General,4825,Cloncurry QLD,B-F,Home,655041,,1104.18,2023-09-24,2024-09-23,BRK-1042
POL-004345,Outback Assurance Group,4810,Townsville QLD,T-W,Home,786869,,7126.9,2025-02-05,2026-02-05,BRK-3390
POL-004346,Coral Coast Mutual,4870,Cairns QLD,T-W,Home,273462,,2769.97,2025-04-30,2026-04-30,
POL-004347,Pacific Rim Insurance,4825,Mount Isa QLD,B-F,SME,2788731,,5459.6,2024-09-13,2025-09-13,
POL-004348,Coral Coast Mutual,4825,Mount Isa QLD,B-F,Home,321850,Elevated Slab,458.27,2024-11-24,2025-11-24,
POL-004349,Southern Cross Insurance,6721,Port Hedland WA,T-W,Home,423236,Shutters Installed,3307.62,2024-11-19,2025-11-19,BRK-4118
POL-004350,Northbeam General,4879,Innisfail QLD,T-W,Strata,4983710,,47534.75,2024-11-20,2025-11-20,BRK-1042
POL-004351,Outback Assurance Group,4720,Charters Towers QLD,L-P,SME,2792282,Shutters Installed,9920.34,2024-03-26,2025-03-26,
POL-004352,Southern Cross Insurance,4879,Innisfail QLD,T-W,Home,860637,,8826.69,2024-05-07,2025-05-07,BRK-1042
POL-004353,Northbeam General,4680,Gladstone QLD,L-P,Home,526115,,2275.37,2024-12-26,2025-12-26,BRK-2071
POL-004354,Southern Cross Insurance,6721,Port Hedland WA,T-W,Home,813130,,7679.55,2024-05-19,2025-05-19,BRK-2071
POL-004355,Southern Cross Insurance,6714,Karratha WA,T-W,SME,1132834,,11732.11,2025-01-13,2026-01-13,BRK-3390
POL-004356,Northbeam General,4802,Townsville QLD,T-W,Home,306380,,2902.97,2025-08-27,2026-08-27,BRK-1042
POL-004357,Southern Cross Insurance,6721,Port Hedland WA,T-W,SME,1909706,Shutters Installed,15709.99,2024-04-22,2025-04-22,BRK-1042
POL-004358,Outback Assurance Group,4740,Mackay QLD,Q-S,SME,1796811,Roof Tie-Down,10212.2,2024-04-18,2025-04-18,
POL-004359,Coral Coast Mutual,4350,Toowoomba QLD,B-F,SME,1502391,,2563.89,2023-03-15,2024-03-14,BRK-4118
POL-004360,Coral Coast Mutual,4825,Cloncurry QLD,B-F,Home,633026,Roof Tie-Down,962.39,2024-05-27,2025-05-27,
POL-004361,Outback Assurance Group,4655,Hervey Bay QLD,L-P,Home,533496,Shutters Installed,1961.02,2025-01-18,2026-01-18,BRK-1042
POL-004362,Coral Coast Mutual,6721,Port Hedland WA,T-W,Home,642264,,6061.96,2024-09-26,2025-09-26,BRK-1042
POL-004363,Pacific Rim Insurance,810,Darwin NT,T-W,Home,634532,Roof Tie-Down,5602.14,2023-12-24,2024-12-23,BRK-4118
POL-004364,Coral Coast Mutual,4870,Cairns QLD,T-W,SME,2841391,,28535.91,2025-05-06,2026-05-06,BRK-3390
POL-004365,Southern Cross Insurance,850,Alice Springs NT,B-F,SME,2445977,Shutters Installed,3639.15,2024-05-28,2025-05-28,
POL-004366,Southern Cross Insurance,4879,Innisfail QLD,T-W,Home,806692,Roof Tie-Down,6870.24,2023-09-26,2024-09-25,
POL-004367,Southern Cross Insurance,4703,Rockhampton QLD,Q-S,Home,566619,Shutters Installed,3095.53,2023-11-04,2024-11-03,
POL-004368,Southern Cross Insurance,4737,Bowen QLD,Q-S,Home,871703,Elevated Slab,5294.97,2024-03-31,2025-03-31,
POL-004369,Northbeam General,6000,Perth WA,B-F,SME,2874082,,5162.11,2025-04-08,2026-04-08,BRK-2071
POL-004370,Pacific Rim Insurance,6721,Port Hedland WA,T-W,Home,584854,Shutters Installed,4790.61,2023-02-12,2024-02-12,BRK-3390
POL-004371,Southern Cross Insurance,4703,Rockhampton QLD,Q-S,Home,671970,Shutters Installed,3368.9,2024-04-17,2025-04-17,BRK-4118
POL-004372,Pacific Rim Insurance,4703,Rockhampton QLD,Q-S,Home,270232,Elevated Slab,1366.97,2023-12-23,2024-12-22,
POL-004373,Outback Assurance Group,4870,Cairns QLD,T-W,SME,839815,Roof Tie-Down,6697.86,2023-02-06,2024-02-06,
POL-004374,Outback Assurance Group,4737,Bowen QLD,Q-S,Home,852536,,5024.4,2024-07-10,2025-07-10,BRK-4118
POL-004375,Northbeam General,4810,Townsville QLD,T-W,Home,579059,,5698.99,2024-02-12,2025-02-11,
POL-004376,Pacific Rim Insurance,800,Darwin NT,T-W,SME,1391326,Elevated Slab,11604.77,2025-02-28,2026-02-28,BRK-2071
POL-004377,Outback Assurance Group,4879,Innisfail QLD,T-W,Home,620085,,6477.78,2025-03-20,2026-03-20,
POL-004378,Pacific Rim Insurance,850,Alice Springs NT,B-F,Strata,13304601,Elevated Slab,21559.42,2024-12-21,2025-12-21,BRK-3390
POL-004379,Pacific Rim Insurance,4810,Townsville QLD,T-W,Home,726530,,6388.64,2024-06-30,2025-06-30,
POL-004380,Southern Cross Insurance,4703,Rockhampton QLD,Q-S,Home,474008,Roof Tie-Down,2477.73,2023-12-20,2024-12-19,BRK-2071
POL-004381,Coral Coast Mutual,4703,Rockhampton QLD,Q-S,Home,448769,Roof Tie-Down,2254.87,2024-04-24,2025-04-24,BRK-4118
POL-004382,Northbeam General,4700,Rockhampton QLD,Q-S,Home,894335,Shutters Installed,4671.13,2024-02-19,2025-02-18,BRK-2071
POL-004383,Southern Cross Insurance,6714,Karratha WA,T-W,Home,845356,,7892.83,2025-02-26,2026-02-26,BRK-4118
POL-004384,Outback Assurance Group,6000,Perth WA,B-F,Home,261538,Roof Tie-Down,413.29,2025-07-25,2026-07-25,BRK-1042
POL-004385,Northbeam General,4350,Toowoomba QLD,B-F,SME,2232713,,4294.97,2024-07-28,2025-07-28,BRK-4118
POL-004386,Outback Assurance Group,4655,Hervey Bay QLD,L-P,SME,1837409,,7225.5,2024-11-16,2025-11-16,BRK-4118
POL-004387,Southern Cross Insurance,4350,Toowoomba QLD,B-F,SME,2880081,,5646.55,2024-12-25,2025-12-25,BRK-3390
POL-004388,Pacific Rim Insurance,810,Darwin NT,T-W,SME,2593998,,24102.51,2025-08-19,2026-08-19,BRK-1042
POL-004389,Northbeam General,800,Darwin NT,T-W,Home,384660,Roof Tie-Down,3389.98,2025-03-26,2026-03-26,BRK-2071
POL-004390,Outback Assurance Group,4825,Mount Isa QLD,B-F,Home,587925,,1135.89,2025-04-04,2026-04-04,BRK-4118
POL-004391,Northbeam General,4825,Mount Isa QLD,B-F,Strata,12769482,,23199.08,2025-04-05,2026-04-05,BRK-1042
POL-004392,Coral Coast Mutual,6714,Karratha WA,T-W,SME,2053874,,21372.24,2025-02-15,2026-02-15,BRK-2071
POL-004393,Northbeam General,4737,Bowen QLD,Q-S,Strata,6577636,,41707.51,2024-01-17,2025-01-16,BRK-3390
POL-004394,Southern Cross Insurance,4700,Rockhampton QLD,Q-S,Home,543773,,3383.54,2023-03-20,2024-03-19,BRK-1042
POL-004395,Coral Coast Mutual,4720,Charters Towers QLD,L-P,Home,808181,,3506.87,2025-02-21,2026-02-21,BRK-2071
POL-004396,Coral Coast Mutual,4825,Mount Isa QLD,B-F,Home,446692,,805.85,2023-01-19,2024-01-19,BRK-3390
POL-004397,Northbeam General,810,Darwin NT,T-W,Home,816099,,7133.12,2024-08-30,2025-08-30,BRK-2071
POL-004398,Pacific Rim Insurance,4737,Bowen QLD,Q-S,SME,2551640,,15925.25,2023-04-13,2024-04-12,BRK-3390
POL-004399,Northbeam General,6000,Perth WA,B-F,SME,1491235,,2620.88,2023-05-18,2024-05-17,BRK-2071
POL-004400,Coral Coast Mutual,4870,Cairns QLD,T-W,Strata,10761524,Shutters Installed,82447.11,2023-09-06,2024-09-05,BRK-4118
POL-004401,Pacific Rim Insurance,6000,Perth WA,B-F,Strata,3867171,,6521.79,2023-06-23,2024-06-22,BRK-2071
POL-004402,Outback Assurance Group,4703,Rockhampton QLD,Q-S,Strata,2027169,Roof Tie-Down,11218.38,2025-06-18,2026-06-18,BRK-1042
POL-004403,Outback Assurance Group,6721,Port Hedland WA,T-W,Home,850844,,7291.8,2024-03-07,2025-03-07,BRK-4118
POL-004404,Pacific Rim Insurance,4879,Innisfail QLD,T-W,Home,737621,,6835.32,2025-01-28,2026-01-28,BRK-4118
POL-004405,Outback Assurance Group,4680,Gladstone QLD,L-P,Home,756231,Elevated Slab,2801.82,2023-03-09,2024-03-08,BRK-2071
POL-004406,Pacific Rim Insurance,4700,Rockhampton QLD,Q-S,Strata,2701231,,16792.26,2024-06-20,2025-06-20,BRK-2071
POL-004407,Pacific Rim Insurance,4655,Hervey Bay QLD,L-P,Home,357980,,1503.82,2025-04-13,2026-04-13,BRK-2071
POL-004408,Coral Coast Mutual,4350,Toowoomba QLD,B-F,Home,419696,,738.4,2023-11-01,2024-10-31,BRK-4118
POL-004409,Southern Cross Insurance,4655,Hervey Bay QLD,L-P,Home,563011,Elevated Slab,1852.85,2024-09-19,2025-09-19,
POL-004410,Outback Assurance Group,4655,Hervey Bay QLD,L-P,Home,491897,,2111.1,2023-01-21,2024-01-21,BRK-4118
POL-004411,Outback Assurance Group,6000,Perth WA,B-F,SME,2767935,,5200.82,2025-02-07,2026-02-07,BRK-3390
